timestamp,ch1,ch2,ch3,ch4,ch5,ch6
1756456631.293247,-325.89,-374.44,-303.63,-366.66,-284.85,-255.61
1756456631.2966607,-325.62,-375.24,-304.43,-366.66,-284.05,-255.88
1756456631.3011458,-325.08,-374.7,-304.16,-366.93,-282.97,-255.08
1756456631.304563,-325.62,-374.17,-303.63,-366.39,-282.97,-255.35
1756456631.3090408,-325.62,-374.44,-303.63,-366.66,-283.24,-255.35
1756456631.312454,-326.16,-375.24,-303.36,-366.93,-282.97,-255.35
1756456631.3169324,-325.62,-375.24,-303.89,-366.66,-283.78,-256.15
1756456631.3203495,-325.08,-375.24,-304.16,-366.12,-284.05,-256.15
1756456631.324833,-325.89,-374.7,-303.36,-366.12,-283.51,-255.88
1756456631.3282475,-326.16,-374.7,-303.09,-366.39,-283.51,-255.35
1756456631.3327332,-326.42,-374.17,-303.63,-366.12,-282.97,-255.88
1756456631.3372169,-327.23,-373.9,-303.09,-366.66,-282.17,-255.88
1756456631.340634,-326.42,-373.9,-303.09,-367.19,-282.97,-255.88
1756456631.3451128,-325.89,-374.17,-304.16,-365.85,-284.05,-255.88
1756456631.348527,-325.89,-374.17,-303.89,-366.12,-284.05,-256.15
1756456631.3530097,-325.62,-374.7,-303.09,-366.12,-282.97,-255.88
1756456631.3564265,-325.89,-374.17,-303.36,-366.93,-283.24,-255.88
1756456631.360909,-326.16,-374.17,-304.16,-367.46,-283.51,-255.61
1756456631.364322,-326.42,-374.17,-304.16,-367.19,-283.78,-255.88
1756456631.368806,-326.16,-373.9,-303.63,-366.93,-283.51,-255.61
1756456631.3732848,-326.42,-373.9,-303.36,-367.73,-283.24,-255.08
1756456631.3767014,-325.89,-373.9,-303.36,-366.12,-283.51,-255.88
1756456631.3811765,-325.89,-374.17,-303.89,-366.66,-284.58,-255.08
1756456631.3845935,-326.42,-374.97,-304.16,-366.66,-284.05,-255.35
1756456631.3890731,-325.62,-374.7,-304.7,-366.39,-283.51,-255.88
1756456631.3924866,-325.35,-374.7,-303.63,-366.39,-284.05,-256.42
1756456631.3969715,-325.62,-374.17,-303.89,-366.39,-283.24,-255.08
1756456631.4003882,-324.82,-374.17,-303.63,-366.12,-284.31,-255.08
1756456631.404871,-325.35,-374.7,-304.16,-366.66,-284.31,-254.54
1756456631.408284,-325.35,-374.97,-303.89,-367.46,-283.51,-255.08
1756456631.4127667,-325.08,-374.17,-303.36,-366.66,-283.78,-255.88
1756456631.4172485,-325.89,-374.7,-304.16,-365.85,-283.51,-255.61
1756456631.420667,-325.89,-374.7,-304.7,-366.66,-283.78,-255.35
1756456631.425145,-326.42,-375.24,-303.63,-367.46,-283.51,-255.08
1756456631.4285624,-326.42,-375.24,-303.36,-367.19,-283.51,-255.08
1756456631.4330401,-326.42,-375.24,-303.89,-367.46,-284.05,-254.54
1756456631.4364562,-326.42,-373.9,-303.63,-367.73,-283.51,-254.54
1756456631.4409304,-326.69,-374.7,-303.09,-366.93,-283.78,-254.54
1756456631.4443479,-325.89,-374.44,-303.63,-366.66,-283.51,-255.61
1756456631.4488304,-325.89,-374.17,-303.89,-366.39,-284.31,-255.35
1756456631.4533088,-325.89,-374.17,-304.43,-366.66,-283.51,-255.08
1756456631.4611917,-325.89,-374.17,-302.82,-366.66,-282.7,-255.61
1756456631.464609,-326.16,-373.9,-302.82,-366.66,-282.97,-255.88
1756456631.4690876,-326.16,-374.17,-303.63,-367.19,-283.78,-255.88
1756456631.472504,-325.35,-374.17,-303.63,-367.19,-284.58,-255.88
1756456631.4769828,-325.62,-374.44,-304.16,-366.12,-283.51,-256.15
1756456631.4804008,-325.62,-375.24,-304.43,-365.59,-283.51,-255.88
1756456631.4848835,-325.08,-375.24,-303.89,-365.85,-282.97,-255.88
1756456631.4893663,-325.89,-374.7,-304.16,-367.19,-282.97,-255.61
1756456631.5051656,-325.62,-374.17,-303.89,-367.19,-284.05,-256.15
1756456631.509208,-325.62,-374.97,-303.63,-367.46,-283.24,-254.81
1756456631.5251083,-325.62,-374.44,-304.16,-366.39,-283.78,-255.35
1756456631.5285864,-325.89,-374.7,-303.63,-368.0,-283.51,-255.88
